Date;ISIN;Indexvalue
07.03.2001;CH0023524637;14.9075
08.03.2001;CH0023524637;14.4694
09.03.2001;CH0023524637;14.3011
12.03.2001;CH0023524637;14.1901
13.03.2001;CH0023524637;14.1122
14.03.2001;CH0023524637;17.6263
15.03.2001;CH0023524637;17.7765
16.03.2001;CH0023524637;17.6494
19.03.2001;CH0023524637;17.6046
20.03.2001;CH0023524637;17.5486
21.03.2001;CH0023524637;17.3078
22.03.2001;CH0023524637;16.7849
23.03.2001;CH0023524637;17.8441
26.03.2001;CH0023524637;18.0799
27.03.2001;CH0023524637;17.8072
28.03.2001;CH0023524637;17.8887
29.03.2001;CH0023524637;17.9703
30.03.2001;CH0023524637;18.2647
02.04.2001;CH0023524637;18.2656
03.04.2001;CH0023524637;18.2084
04.04.2001;CH0023524637;18.2882
05.04.2001;CH0023524637;18.3742
06.04.2001;CH0023524637;18.3626
09.04.2001;CH0023524637;18.2735
10.04.2001;CH0023524637;18.4147
11.04.2001;CH0023524637;18.0997
12.04.2001;CH0023524637;17.9639
17.04.2001;CH0023524637;17.9843
18.04.2001;CH0023524637;18.3239
19.04.2001;CH0023524637;18.7158
20.04.2001;CH0023524637;18.7487
23.04.2001;CH0023524637;16.9689
24.04.2001;CH0023524637;17.4821
25.04.2001;CH0023524637;18.1055
26.04.2001;CH0023524637;17.9696
27.04.2001;CH0023524637;17.8657
30.04.2001;CH0023524637;17.8463
02.05.2001;CH0023524637;17.4242
03.05.2001;CH0023524637;17.4639
04.05.2001;CH0023524637;17.4342
07.05.2001;CH0023524637;17.2577
08.05.2001;CH0023524637;17.2914
09.05.2001;CH0023524637;17.3481
10.05.2001;CH0023524637;17.455
11.05.2001;CH0023524637;17.3812
14.05.2001;CH0023524637;17.4426
15.05.2001;CH0023524637;17.2863
16.05.2001;CH0023524637;17.2822
17.05.2001;CH0023524637;17.2983
18.05.2001;CH0023524637;17.0561
21.05.2001;CH0023524637;16.7935
22.05.2001;CH0023524637;16.7536
23.05.2001;CH0023524637;16.8775
24.05.2001;CH0023524637;16.8886
25.05.2001;CH0023524637;16.4267
28.05.2001;CH0023524637;16.6954
29.05.2001;CH0023524637;16.7912
30.05.2001;CH0023524637;16.9443
31.05.2001;CH0023524637;16.9803
01.06.2001;CH0023524637;16.8936
04.06.2001;CH0023524637;16.9306
05.06.2001;CH0023524637;16.7877
06.06.2001;CH0023524637;16.6536
07.06.2001;CH0023524637;16.5657
08.06.2001;CH0023524637;16.4834
11.06.2001;CH0023524637;16.8312
12.06.2001;CH0023524637;17.0388
13.06.2001;CH0023524637;17.2121
14.06.2001;CH0023524637;16.9312
15.06.2001;CH0023524637;16.9708
18.06.2001;CH0023524637;10.4615
19.06.2001;CH0023524637;15.4221
20.06.2001;CH0023524637;15.5186
21.06.2001;CH0023524637;15.4489
22.06.2001;CH0023524637;15.2742
25.06.2001;CH0023524637;15.3421
26.06.2001;CH0023524637;15.7474
27.06.2001;CH0023524637;15.7509
28.06.2001;CH0023524637;15.7414
29.06.2001;CH0023524637;15.9265
02.07.2001;CH0023524637;15.9187
03.07.2001;CH0023524637;16.3396
04.07.2001;CH0023524637;16.3665
05.07.2001;CH0023524637;16.163
06.07.2001;CH0023524637;16.2945
09.07.2001;CH0023524637;16.2982
10.07.2001;CH0023524637;16.266
11.07.2001;CH0023524637;16.2203
12.07.2001;CH0023524637;16.2868
13.07.2001;CH0023524637;16.2953
16.07.2001;CH0023524637;16.2957
17.07.2001;CH0023524637;16.2953
18.07.2001;CH0023524637;16.2636
19.07.2001;CH0023524637;16.3239
20.07.2001;CH0023524637;16.3155
23.07.2001;CH0023524637;16.3192
24.07.2001;CH0023524637;16.2485
25.07.2001;CH0023524637;16.1286
26.07.2001;CH0023524637;16.1913
27.07.2001;CH0023524637;16.2821
30.07.2001;CH0023524637;16.3997
31.07.2001;CH0023524637;16.4276
01.08.2001;CH0023524637;16.4719
02.08.2001;CH0023524637;16.4932
03.08.2001;CH0023524637;16.3304
06.08.2001;CH0023524637;16.2818
07.08.2001;CH0023524637;16.2791
08.08.2001;CH0023524637;16.2717
09.08.2001;CH0023524637;16.1402
10.08.2001;CH0023524637;16.0212
13.08.2001;CH0023524637;15.7273
14.08.2001;CH0023524637;16.5049
15.08.2001;CH0023524637;16.4577
16.08.2001;CH0023524637;16.3869
17.08.2001;CH0023524637;16.5579
20.08.2001;CH0023524637;16.5174
21.08.2001;CH0023524637;16.2593
22.08.2001;CH0023524637;16.6962
23.08.2001;CH0023524637;16.6313
24.08.2001;CH0023524637;16.5803
27.08.2001;CH0023524637;16.6935
28.08.2001;CH0023524637;16.5587
29.08.2001;CH0023524637;16.121
30.08.2001;CH0023524637;16.1306
31.08.2001;CH0023524637;16.1953
03.09.2001;CH0023524637;15.9835
04.09.2001;CH0023524637;16.1659
05.09.2001;CH0023524637;16.0548
06.09.2001;CH0023524637;16.1741
07.09.2001;CH0023524637;15.9459
10.09.2001;CH0023524637;16.8605
11.09.2001;CH0023524637;20.5944
12.09.2001;CH0023524637;23.2964
13.09.2001;CH0023524637;22.578
14.09.2001;CH0023524637;22.1717
17.09.2001;CH0023524637;24.4476
18.09.2001;CH0023524637;24.1432
19.09.2001;CH0023524637;22.7688
20.09.2001;CH0023524637;23.5834
21.09.2001;CH0023524637;23.1135
24.09.2001;CH0023524637;23.1501
25.09.2001;CH0023524637;23.2453
26.09.2001;CH0023524637;23.2439
27.09.2001;CH0023524637;23.2088
28.09.2001;CH0023524637;23.1918
01.10.2001;CH0023524637;23.6594
02.10.2001;CH0023524637;23.6506
03.10.2001;CH0023524637;22.8992
04.10.2001;CH0023524637;23.4881
05.10.2001;CH0023524637;23.4521
08.10.2001;CH0023524637;23.0066
09.10.2001;CH0023524637;22.9078
10.10.2001;CH0023524637;22.9293
11.10.2001;CH0023524637;22.981
12.10.2001;CH0023524637;22.989
15.10.2001;CH0023524637;22.9771
16.10.2001;CH0023524637;23.0159
17.10.2001;CH0023524637;23.0015
18.10.2001;CH0023524637;23.0164
